,LICENSENO,LICSTATUS,LICCAT,LICCATDESC,Address_Complete,Location_Complete
123,LB-98948,Active,CV7AL,CV7 All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
124,LB-99427,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
125,LB-99754,Active,CV7MWL,CV7 Malt Wine Liq.,L St South Boston MA,"(42.3364936, -71.0354335)"
126,LB-99291,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
127,LB-99147,Active,CV7AL,CV7 All Alc.,MASSACHUSETTS AVE Boston MA,"(42.3490087, -71.0885814)"
128,LB-98830,Active,CLBALV,Clb. All Alc. Vet.,Gallivan Blvd Dorchester MA,"(42.2825819, -71.0562325)"
129,LB-98896,Active,CV7AL,CV7 All Alc.,Austin ST Charlestown MA,"(42.3749852, -71.0654436)"
130,LB-99375,Active,CV7AL,CV7 All Alc.,Albany ST Roxbury MA,"(42.3299, -71.079064)"
131,LB-99251,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
132,LB-98946,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
133,LB-99053,Active,CV7AL,CV7 All Alc.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
134,LB-99553,Active,CV7MW,CV7 Malt Wine,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
135,LB-98819,Active,CLBALA,Clb. All Alc. Airport,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
136,LB-134014,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
137,LB-99274,Active,CV7AL,CV7 All Alc.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
138,LB-98798,Active,CLBAL,Clb. All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
139,LB-99641,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
140,LB-99421,Active,INNAL,Inn. All Alc.,D St Boston MA,"(42.3341553, -71.0563777)"
141,LB-99757,Active,CV7MWL,CV7 Malt Wine Liq.,D St Boston MA,"(42.3341553, -71.0563777)"
142,LB-99166,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
143,LB-99070,Active,CV7AL,CV7 All Alc.,Faneuil Hall Marketplace Boston MA,"(42.3598941, -71.0558306)"
144,LB-99296,Active,CV7AL,CV7 All Alc.,80 W Broadway Boston MA,"(42.341814, -71.055331)"
145,LB-99000,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
146,LB-99808,Active,CV7MWL,CV7 Malt Wine Liq.,Lexington ST East Boston MA,"(42.37712, -71.039899)"
147,LB-99740,Active,CV7MWL,CV7 Malt Wine Liq.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
148,LB-99854,Active,CV7MWR,CV7 Malt Wine Restrict.,Adams ST Dorchester MA,"(42.2588941, -71.0430771)"
149,LB-99220,Active,CV7AL,CV7 All Alc.,Faneuil Hall Marketplace Boston MA,"(42.3598941, -71.0558306)"
150,LB-99180,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
151,LB-99732,Active,CV7MWL,CV7 Malt Wine Liq.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
152,LB-163200,Active,CV7AL,CV7 All Alc.,Cambridge ST Boston MA,"(42.3609956, -71.0616096)"
153,LB-134966,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Fairmount AV Hyde Park MA,"(42.2525898, -71.1183178)"
154,LB-98989,Active,CV7AL,CV7 All Alc.,Chestnut Hill Av Brighton MA,"(42.338352, -71.1528837)"
155,LB-99429,Active,CV7AL,CV7 All Alc.,11A Allstate Rd Boston MA,"(42.3261063, -71.0635699)"
156,LB-99423,Active,CV7AL,CV7 All Alc.,Tremont ST Roxbury MA,"(42.3314388, -71.0945931)"
157,LB-99786,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
158,LB-138942,Active,CV7MWR,CV7 Malt Wine Restrict.,Western Av Brighton MA,"(42.3616982, -71.1467478)"
159,LB-99403,Active,CV7AL,CV7 All Alc.,Prince ST Boston MA,"(42.316097, -71.123632)"
160,LB-99751,Active,CV7MWL,CV7 Malt Wine Liq.,Charles ST Boston MA,"(42.3003827, -71.0624746)"
161,LB-99245,Active,CV7AL,CV7 All Alc.,Talbot AV Dorchester MA,"(42.289069, -71.06701)"
162,LB-99578,Active,CV7MW,CV7 Malt Wine,Harrison AV Boston MA,"(42.3486597, -71.0623168)"
163,LB-99827,Active,CV7MWL,CV7 Malt Wine Liq.,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
164,LB-99860,Active,CV7MWR,CV7 Malt Wine Restrict.,Washington St Brighton MA,"(42.3440542, -71.1426459)"
165,LB-99328,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
166,LB-98945,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
167,LB-99394,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
168,LB-98933,Active,CV7AL,CV7 All Alc.,Exeter ST Boston MA,"(42.3510642, -71.0802554)"
169,LB-99782,Active,CV7MWL,CV7 Malt Wine Liq.,Tremont ST Roxbury MA,"(42.3314388, -71.0945931)"
170,LB-99292,Active,CV7AL,CV7 All Alc.,Fan Pier  Bl Boston MA,"(42.35260065, -71.0440767625445)"
171,LB-99204,Active,CV7AL,CV7 All Alc.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
172,LB-99026,Active,CV7AL,CV7 All Alc.,Boylston St Boston MA,"(42.3500548, -71.0774775)"
173,LB-99535,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Brighton MA,"(42.3399223, -71.1598651)"
174,LB-99511,Active,CV7MW,CV7 Malt Wine,Washington ST Brighton MA,"(42.3440542, -71.1426459)"
175,LB-99544,Active,CV7MW,CV7 Malt Wine,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
176,LB-99354,Active,CV7AL,CV7 All Alc.,Tremont St Boston MA,"(42.3582926, -71.0602525)"
177,LB-99016,Active,CV7AL,CV7 All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
178,LB-98909,Active,CV7AL,CV7 All Alc.,Brookline AV Boston MA,"(42.3364702, -71.1097786)"
179,LB-99055,Active,CV7AL,CV7 All Alc.,Harrison Av Roxbury MA,"(42.3279605, -71.0830607)"
180,LB-99247,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
181,LB-99297,Active,CV7AL,CV7 All Alc.,A ST Boston MA,"(42.3406301, -71.0571031)"
182,LB-99056,Active,CV7AL,CV7 All Alc.,Broad ST Boston MA,"(42.3586486, -71.0543732)"
183,LB-99099,Active,CV7AL,CV7 All Alc.,Havre ST East Boston MA,"(42.375617, -71.035148)"
184,LB-99821,Active,CV7MWL,CV7 Malt Wine Liq.,Bosworth ST Boston MA,"(42.357366, -71.061074)"
185,LB-98936,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
186,LB-99090,Active,CV7AL,CV7 All Alc.,Boylston St Boston MA,"(42.3500548, -71.0774775)"
187,LB-98923,Active,CV7AL,CV7 All Alc.,Melcher ST Boston MA,"(42.3497136, -71.0504132)"
188,LB-99300,Active,CV7AL,CV7 All Alc.,BATTERYMARCH ST Boston MA,"(42.3569494, -71.0532751)"
189,LB-99315,Active,INNAL,Inn. All Alc.,3 Battery Wharf Boston MA,"(42.366754976621, -71.0514250654611)"
190,LB-99230,Active,CV7AL,CV7 All Alc.,State ST Boston MA,"(42.3588444, -71.0572152)"
191,LB-101581,Active,GOPAL,GOP All Alc.,Charles ST Boston MA,"(42.3003827, -71.0624746)"
192,LB-99273,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
193,LB-99285,Active,CV7AL,CV7 All Alc.,Tremont St Boston MA,"(42.3582926, -71.0602525)"
194,LB-99068,Active,CV7AL,CV7 All Alc.,Canal St Boston MA,"(42.3655034, -71.0611978)"
195,LB-99014,Active,CV7AL,CV7 All Alc.,South ST Boston MA,"(42.3398175, -71.1575632)"
196,LB-99264,Active,CV7AL,CV7 All Alc.,Union ST Boston MA,"(42.346181, -71.152921)"
197,LB-99436,Active,CV7AL,CV7 All Alc.,Amory St Jamaica Plain MA,"(42.308936, -71.108032)"
198,LB-99762,Active,CV7MWL,CV7 Malt Wine Liq.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
199,LB-99231,Active,CV7AL,CV7 All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
200,LB-99232,Active,CV7AL,CV7 All Alc.,683 Vfw Pkwy Boston MA,"(42.274579, -71.173725)"
201,LB-99769,Active,CV7MWL,CV7 Malt Wine Liq.,Blackfan Cir Boston MA,"(42.337783, -71.1051413)"
